Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
0,51900,1180,27,62300,36300,0.52,0.15
0,44700,950,21,48700,19600,0.92,0.06
0,49700,930,19,47900,23800,0.85,0.08
0,45900,940,19,54700,29800,0.86,0.06
0,43300,1260,29,52600,30400,0.44,0.5
0,42100,990,20,39600,17800,0.7,0.09
0,45200,1450,32,65800,25000,0.5,0.01
1,46300,1100,24,24000,15700,0.54,0.05
1,49000,1110,25,19400,12900,0.33,0.22
0,67100,1440,32,66400,36700,0.44,0.04
1,43700,990,21,23500,17200,0.41,0.02
0,47000,990,22,56600,27300,0.8,0.15
0,52200,1200,25,58500,34200,0.5,0.35
0,58200,1380,31,62000,31800,0.48,0.33
0,50300,1310,28,64500,39100,0.65,0.27
0,47500,1150,26,61700,29900,0.81,0.09
1,45300,1160,25,25800,19900,0.65,0.15
0,48000,830,15,50600,24200,0.77,0.01
1,55700,1140,26,35000,16200,0.6,0.1
0,41600,1200,27,42900,28100,0.51,0.27
0,50300,1140,26,45400,29900,0.61,0.19
1,55100,1190,23,19000,14200,0.31,0.09
0,39400,1230,28,54800,28400,0.66,0.29
1,48800,1090,24,24000,18000,0.61,0.08
0,54000,1280,27,62300,40600,0.43,0.35
0,60600,1290,29,64100,39900,0.33,0.27
1,50700,1230,25,29700,8900,0.46,0.09
1,51500,1150,26,27100,18900,0.42,0.05
1,47800,1110,24,18800,13300,0.57,0.04
1,50500,1110,24,26200,17100,0.49,0.2
1,50300,900,19,17300,11100,0.64,0.03
0,49600,1230,25,51900,29200,0.77,0.2
0,47600,1160,26,51600,33400,0.56,0.12
0,48100,1170,26,51100,27900,0.63,0.35
1,44800,1220,28,29700,18700,0.37,0.24
1,42600,1200,27,22500,18200,0.35,0.11
1,46400,1070,23,20400,15700,0.5,0.18
1,39200,970,23,21400,15900,0.51,0.17
1,46800,1230,27,21700,15600,0.32,0.08
0,47600,1150,23,39800,24100,0.75,0.18
0,45500,1240,28,65300,26500,0.44,0.01
0,50000,1150,25,54200,33800,0.72,0.23
0,45200,1100,26,51300,28900,0.57,0.33
0,45000,1100,25,41700,26400,0.7,0.24
0,37900,1040,23,47700,23600,0.79,0.16
1,49000,1170,27,30300,20200,0.28,0.2
0,45000,1230,28,61400,33400,0.43,0.41
1,51600,1110,25,23300,15200,0.43,0.1
0,48100,1240,26,66000,30100,0.54,0.21
1,49400,1210,27,27900,20500,0.51,0.12
0,47000,1110,26,47800,23100,0.64,0.23
0,51200,1180,27,52300,35900,0.56,0.39
0,37900,1230,27,54400,26400,0.68,0.29
0,42600,1340,31,62200,30500,0.69,0.1
0,44800,1430,31,65000,34900,0.55,0.06
0,47000,1130,22,53700,28600,0.83,0.2
0,41900,1100,24,42600,22900,0.7,0.27
1,53500,1200,27,36000,26400,0.26,0.1
0,47700,1150,26,49500,21500,0.47,0.16
0,43900,1090,24,51800,28100,0.61,0.2
0,45800,1030,24,42300,20500,0.73,0.17
1,40800,1190,23,17700,12600,0.42,0.06
0,44000,1180,26,44300,28300,0.61,0.31
1,49600,1130,24,20700,15500,0.33,0.16
0,44900,1180,27,36900,25500,0.59,0.26
0,47700,1110,26,49700,24000,0.73,0.19
1,44300,1020,20,19800,9700,0.68,0.04
1,40600,1150,26,20200,12500,0.36,0.03
1,38900,1200,26,24100,15700,0.6,0.12
1,48600,1100,24,25600,17900,0.43,0.13
0,41200,1020,22,35300,18700,0.66,0.19
1,47600,1070,24,19400,10100,0.35,0.22
0,41800,1300,27,52300,26600,0.59,0.33
0,59000,1270,28,59500,24500,0.54,0.36
1,42100,1100,23,30600,17200,0.3,0.04
0,43800,1110,24,49800,23800,0.83,0.15
0,42100,1100,26,47600,24000,0.76,0.22
0,35900,1100,26,43900,21400,0.71,0.24
1,44600,1080,23,24700,15100,0.35,0.07
0,45300,1350,30,65800,28700,0.51,0.06
0,46400,1220,28,54800,30500,0.64,0.32
1,47400,1090,24,27200,11000,0.43,0.05
1,48900,1160,26,24900,18300,0.3,0.13
0,45900,1210,27,52600,30000,0.6,0.36
0,42300,1150,26,48400,32100,0.7,0.3
1,46200,1140,25,24500,15800,0.34,0.13
1,45400,1110,24,26100,18300,0.23,0.13
0,40700,1290,27,53200,25800,0.79,0.2
0,43600,1160,26,37000,27300,0.61,0.31
0,47700,1310,29,67400,35700,0.49,0.15
0,42900,1280,27,52400,28400,0.69,0.27
1,51500,1140,25,24000,13800,0.5,0.03
0,44200,1070,24,53100,23100,0.87,0.07
0,35200,1110,25,42300,24600,0.75,0.15
0,42100,1280,29,60000,37000,0.59,0.28
1,46500,1120,25,22600,16100,0.4,0.29
0,45100,1190,27,57800,35600,0.66,0.27
0,39100,810,18,35700,15300,0.86,0.03
1,51400,1090,23,25100,14900,0.41,0.25
0,43300,1360,30,67000,42400,0.48,0.36
1,50800,1210,27,26300,15400,0.4,0.14
0,63700,1390,29,66800,39600,0.63,0.28
0,42100,1360,29,64800,27900,0.59,0.04
1,51600,1260,28,34300,25600,0.38,0.03
1,35673,1180,24,19100,11300,0.75,0.05
0,51700,1140,25,57600,38200,0.48,0.25
0,38900,970,22,42400,18400,0.84,0.16
0,37000,1020,24,38200,19900,0.71,0.07
0,39600,1230,29,51400,27100,0.58,0.39
1,46100,1110,24,23500,16700,0.54,0.19
0,44900,1140,26,51600,29000,0.71,0.24
0,48900,1150,26,56000,31400,0.77,0.2
0,44900,1170,27,63400,34300,0.72,0.23
0,46500,1100,23,49100,20100,0.63,0.18
0,45400,1090,25,52100,25200,0.72,0.18
0,44700,1200,28,48200,29500,0.58,0.34
1,43500,1190,24,28100,17800,0.39,0.05
1,45000,1110,22,19600,13600,0.39,0.04
1,41300,1290,28,23700,17300,0.39,0.05
1,45700,1170,27,30600,19500,0.53,0.12
1,38900,1050,24,23400,17200,0.52,0.07
0,41900,1080,24,48100,24200,0.83,0.07
0,48400,1120,25,58900,36400,0.71,0.18
1,45200,1000,23,33900,19700,0.82,0.13
0,41100,1160,25,46700,22400,0.81,0.15
0,50600,1160,26,61700,32300,0.52,0.11
0,51200,1160,27,56900,37500,0.53,0.04
0,42800,1220,24,46800,23100,0.82,0.2
1,43700,970,18,29500,16100,0.36,0.04
0,36000,1030,23,29100,15400,0.92,0.07
0,43800,1180,26,54300,31700,0.62,0.32
0,41100,1210,25,50800,22200,0.78,0.22
0,45600,1100,25,51700,27100,0.73,0.28
1,45200,1120,25,31900,21200,0.61,0.11
1,39800,1010,21,23500,16900,0.43,0.07
1,63600,1180,26,23100,19100,0.37,0.19
0,55600,1390,32,62700,33300,0.37,0.33
1,42500,1220,25,18800,13900,0.25,0.03
0,52400,1360,30,68700,38700,0.49,0.06
0,43600,1040,23,44700,22800,0.78,0.16
0,41000,1215,24,40500,21600,0.62,0.37
0,45400,1170,28,53100,35700,0.62,0.32
0,36400,1230,28,51700,27700,0.48,0.3
0,43000,1100,25,52300,27300,0.75,0.23
0,43300,1130,25,55500,28900,0.75,0.23
0,39500,1110,25,49800,19000,0.79,0.19
1,44400,1200,27,26600,19600,0.27,0.3
0,46200,1180,27,51300,31100,0.53,0.38
1,44000,1000,19,30600,10400,0.62,0.01
1,50600,1230,28,30600,23700,0.26,0.31
0,41200,1020,24,39200,20900,0.77,0.15
0,48700,1520,34,66300,28400,0.34,0.01
0,45800,920,19,51300,16300,0.85,0.09
0,41700,1170,28,42500,28100,0.59,0.29
0,46600,1060,24,51700,31200,0.76,0.17
1,50600,1170,27,31200,22900,0.29,0.26
0,42400,1050,23,43600,23200,0.83,0.14
0,45400,1120,25,48100,29400,0.69,0.27
0,47300,1120,24,44100,26600,0.63,0.31
1,44100,920,19,20800,6900,0.78,0.01
1,44500,1020,21,23600,8400,0.61,0.09
1,48400,1160,24,23200,17200,0.3,0.08
0,47700,1180,26,50400,21900,0.42,0.19
0,43700,1070,20,38100,21400,0.89,0.06
1,45900,1260,25,25100,19600,0.29,0.17
0,41400,1220,25,45300,24800,0.7,0.24
1,43900,920,20,24400,14700,0.48,0.03
1,42400,1150,22,21000,15300,0.36,0.11
1,40600,1210,28,21200,13100,0.5,0.35
0,39300,920,20,49100,22900,0.82,0.07
0,32200,1010,24,37800,20700,0.84,0.16
1,40000,1060,21,22700,16100,0.73,0.03
1,42200,1100,24,23400,16500,0.59,0.08
0,48500,1110,25,53300,33500,0.77,0.19
0,39500,1010,23,43800,25500,0.86,0.11
0,45000,1280,29,64800,36500,0.53,0.15
1,47700,1140,26,25100,14600,0.38,0.15
0,40200,1220,25,49900,23800,0.65,0.14
1,40700,1110,22,24900,17800,0.51,0.13
0,49400,1120,25,53900,29000,0.37,0.14
1,52000,1130,25,27400,17400,0.55,0.09
0,39200,1140,25,46300,24900,0.72,0.25
0,42300,1090,26,51800,28000,0.69,0.11
1,43100,980,19,26000,20600,0.43,0.13
