Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
0,36400,1260,26,66600,34900,0.71,0.34
0,41400,980,21,39300,19200,0.86,0.09
0,39500,890,22,46900,23900,0.86,0.13
0,40400,980,21,45100,28100,0.58,0.05
1,44300,1110,23,23700,17500,0.57,0.02
0,42800,1120,26,55700,34800,0.86,0.34
1,44800,960,24,23600,20600,0.6,0.13
1,38800,810,17,22000,16400,0.72,0.11
0,46400,1140,26,63200,43700,0.78,0.25
1,45300,1130,26,28300,20600,0.31,0.23
1,41800,980,20,25100,17400,0.45,0.02
1,43900,1050,23,25800,14100,0.44,0.12
0,44800,1070,23,48300,35900,0.56,0.21
0,37300,1030,23,46700,21000,0.81,0.2
0,30800,1200,25,35900,25300,0.54,0.09
0,37600,1150,25,37700,22900,0.61,0.16
0,39400,1140,25,54500,28600,0.68,0.22
1,39400,980,19,26100,18400,0.57,0.03
1,42500,1040,22,24100,18600,0.51,0.06
0,42700,1030,23,41500,25300,0.75,0.14
1,41600,990,22,19900,12100,0.44,0.13
0,42200,1080,23,56500,35400,0.82,0.12
1,38900,990,19,22100,11400,0.75,0.03
0,37000,1170,27,46200,26600,0.72,0.3
1,38400,1020,23,20600,12400,0.54,0.17
0,39500,1200,25,57600,32500,0.65,0.3
0,39000,860,21,36200,19900,0.75,0.15
1,43600,1020,22,25400,17500,0.47,0.04
0,40800,1050,22,44400,28300,0.79,0.18
0,41300,1090,24,55500,31700,0.72,0.24
0,44300,1060,23,53500,32300,0.78,0.16
1,40300,1110,22,21700,13400,0.41,0.08
1,38500,960,20,24800,18700,0.42,0.03
1,41200,1010,19,29000,14400,0.49,0.06
1,43700,1110,24,30200,21100,0.45,0.09
1,37200,920,17,23900,16700,0.58,0.02
0,44600,1090,24,54600,35200,0.81,0.18
0,38900,1090,25,45400,25500,0.69,0.33
0,39400,1170,26,58000,26400,0.73,0.24
0,40300,1170,27,47200,33300,0.44,0.21
0,39400,1130,23,49200,27600,0.8,0.17
0,41600,1200,25,61100,49200,0.59,0.19
0,38700,990,22,42700,24900,0.9,0.07
1,39000,880,18,22300,15800,0.58,0.08
0,37600,1070,23,49100,28100,0.86,0.18
0,40300,980,21,49200,29700,0.82,0.16
0,37900,1030,23,47300,23700,0.84,0.12
1,37500,930,20,21900,15100,0.6,0.02
1,34400,990,19,24200,15700,0.75,0.03
0,47900,1200,25,52000,39300,0.4,0.12
0,39601,980,19,32300,23400,0.91,0.01
0,35300,910,20,39100,23200,0.88,0.1
0,36600,1040,23,37500,29400,0.77,0.09
0,36300,1090,25,55700,28700,0.75,0.05
0,34300,970,22,33700,23900,0.85,0.09
0,41500,1100,24,52300,29800,0.75,0.22
1,37800,1030,22,27300,17300,0.66,0.13
1,40600,1040,23,26600,19700,0.36,0.17
0,40000,960,20,42500,24300,0.57,0.02
0,41200,1070,24,41800,29900,0.59,0.3
1,36300,860,18,19600,10600,0.77,0.01
0,36800,880,18,33900,21600,0.87,0.17
0,40400,1060,24,54700,41400,0.34,0.44
0,31300,1030,20,23500,18100,0.99,0.01
